Genus	State	Proportion	Replicate
Surniculus	SS	0	4
Cacomantis	AA	0	5
Cacomantis	AP	0	5
Cacomantis	II	0.09	5
Cacomantis	NS	0	5
Cacomantis	S	0.91	5
Cacomantis	SS	0	5
Cercococcyx	AA	0	5
Cercococcyx	AP	0	5
Cercococcyx	II	0	5
Cercococcyx	NS	0	5
Cercococcyx	S	1	5
Cercococcyx	SS	0	5
Chalcites	AA	0.01	5
Chalcites	AP	0	5
Chalcites	II	0.08	5
Chalcites	NS	0	5
Chalcites	S	0.89	5
Chalcites	SS	0.02	5
Chrysococcyx	AA	0.02	5
Chrysococcyx	AP	0.01	5
Chrysococcyx	II	0.13	5
Chrysococcyx	NS	0.02	5
Chrysococcyx	S	0.81	5
Chrysococcyx	SS	0.01	5
Clamator	AA	0.07	5
Clamator	AP	0.35	5
Clamator	II	0.18	5
Clamator	NS	0.04	5
Clamator	S	0.35	5
Clamator	SS	0.01	5
Coccycua	AA	0.01	5
Coccycua	AP	0.02	5
Coccycua	II	0	5
Coccycua	NS	0	5
Coccycua	S	0.94	5
Coccycua	SS	0.03	5
Coccyzus	AA	0.01	5
Coccyzus	AP	0	5
Coccyzus	II	0	5
Coccyzus	NS	0.04	5
Coccyzus	S	0.39	5
Coccyzus	SS	0.56	5
Cuculus	AA	0.41	5
Cuculus	AP	0.04	5
Cuculus	II	0.02	5
Cuculus	NS	0.01	5
Cuculus	S	0.49	5
Cuculus	SS	0.03	5
Eudynamys	AA	0	5
Eudynamys	AP	0	5
Eudynamys	II	0.95	5
Eudynamys	NS	0	5
Eudynamys	S	0.05	5
Eudynamys	SS	0	5
Hierococcyx	AA	0.01	5
Hierococcyx	AP	0	5
Hierococcyx	II	0.02	5
Hierococcyx	NS	0	5
Hierococcyx	S	0.97	5
Hierococcyx	SS	0	5
Phaenicophaeus	AA	0	5
Phaenicophaeus	AP	0	5
Phaenicophaeus	II	0	5
Phaenicophaeus	NS	0	5
Phaenicophaeus	S	1	5
Phaenicophaeus	SS	0	5
Piaya	AA	0	5
Piaya	AP	0	5
Piaya	II	0	5
Piaya	NS	0	5
Piaya	S	1	5
Piaya	SS	0	5
Surniculus	AA	0.01	5
Surniculus	AP	0.01	5
Surniculus	II	0.09	5
Surniculus	NS	0	5
Surniculus	S	0.89	5
Surniculus	SS	0	5
Cacomantis	AA	0	6
Cacomantis	AP	0	6
Cacomantis	II	0.09	6
Cacomantis	NS	0	6
Cacomantis	S	0.91	6
Cacomantis	SS	0	6
Cercococcyx	AA	0	6
Cercococcyx	AP	0	6
Cercococcyx	II	0	6
Cercococcyx	NS	0	6
Cercococcyx	S	1	6
Cercococcyx	SS	0	6
Chalcites	AA	0.01	6
Chalcites	AP	0	6
Chalcites	II	0.08	6
Chalcites	NS	0	6
Chalcites	S	0.89	6
Chalcites	SS	0.02	6
Chrysococcyx	AA	0.02	6
Chrysococcyx	AP	0.01	6
Chrysococcyx	II	0.13	6
Chrysococcyx	NS	0.02	6
Chrysococcyx	S	0.81	6
Chrysococcyx	SS	0.01	6
Clamator	AA	0.07	6
Clamator	AP	0.35	6
Clamator	II	0.18	6
Clamator	NS	0.04	6
Clamator	S	0.35	6
Clamator	SS	0.01	6
Coccycua	AA	0.01	6
Coccycua	AP	0.02	6
Coccycua	II	0	6
Coccycua	NS	0	6
Coccycua	S	0.94	6
Coccycua	SS	0.03	6
Coccyzus	AA	0.01	6
Coccyzus	AP	0	6
Coccyzus	II	0	6
Coccyzus	NS	0.04	6
Coccyzus	S	0.39	6
Coccyzus	SS	0.56	6
Cuculus	AA	0.41	6
Cuculus	AP	0.04	6
Cuculus	II	0.02	6
Cuculus	NS	0.01	6
Cuculus	S	0.49	6
Cuculus	SS	0.03	6
Eudynamys	AA	0	6
Eudynamys	AP	0	6
Eudynamys	II	0.95	6
Eudynamys	NS	0	6
Eudynamys	S	0.05	6
Eudynamys	SS	0	6
Hierococcyx	AA	0.01	6
Hierococcyx	AP	0	6
Hierococcyx	II	0.02	6
Hierococcyx	NS	0	6
Hierococcyx	S	0.97	6
Hierococcyx	SS	0	6
Phaenicophaeus	AA	0	6
Phaenicophaeus	AP	0	6
Phaenicophaeus	II	0	6
Phaenicophaeus	NS	0	6
Phaenicophaeus	S	1	6
Phaenicophaeus	SS	0	6
Piaya	AA	0	6
Piaya	AP	0	6
Piaya	II	0	6
Piaya	NS	0	6
Piaya	S	1	6
Piaya	SS	0	6
Surniculus	AA	0.01	6
Surniculus	AP	0.01	6
Surniculus	II	0.09	6
Surniculus	NS	0	6
Surniculus	S	0.89	6
Surniculus	SS	0	6
Cacomantis	AA	0	7
Cacomantis	AP	0	7
Cacomantis	II	0.09	7
Cacomantis	NS	0	7
Cacomantis	S	0.91	7
Cacomantis	SS	0	7
Cercococcyx	AA	0	7
Cercococcyx	AP	0	7
Cercococcyx	II	0	7
Cercococcyx	NS	0	7
Cercococcyx	S	1	7
Cercococcyx	SS	0	7
Chalcites	AA	0.01	7
Chalcites	AP	0	7
Chalcites	II	0.08	7
Chalcites	NS	0	7
Chalcites	S	0.89	7
Chalcites	SS	0.02	7
Chrysococcyx	AA	0.02	7
Chrysococcyx	AP	0.01	7
Chrysococcyx	II	0.13	7
Chrysococcyx	NS	0.02	7
Chrysococcyx	S	0.81	7
Chrysococcyx	SS	0.01	7
Clamator	AA	0.07	7
Clamator	AP	0.35	7
Clamator	II	0.18	7
Clamator	NS	0.04	7
Clamator	S	0.35	7
Clamator	SS	0.01	7
Coccycua	AA	0.01	7
Coccycua	AP	0.02	7
Coccycua	II	0	7
Coccycua	NS	0	7
Coccycua	S	0.94	7
Coccycua	SS	0.03	7
Coccyzus	AA	0.01	7
Coccyzus	AP	0	7
